Title,playerNum,Online,Genre,Publisher,RS,Sales,UP,Console,AgeRating,Year
Madden NFL 08,4,TRUE,Sports,EA,81,0.94,9.95,PlayStation 3,T,2007
Call of Duty 4: Modern Warfare,1,TRUE,Action,Activision,75,0.94,19.95,Nintendo DS,T,2007
MySims,1,TRUE,"Simulation,Strategy",EA,68,0.94,17.95,Nintendo Wii,T,2007
Mario Strikers Charged,4,TRUE,"Action,Sports",Nintendo,79,0.93,29.95,Nintendo Wii,E,2007
Star Wars Battlefront: Renegade Squadron,1,TRUE,Action,,73,0.93,16.95,Sony PSP,T,2007
Flash Focus: Vision Training in Minutes a Day,1,TRUE,Action,Nintendo,59,0.91,17.95,Nintendo DS,T,2007
Metroid Prime 3: Corruption,1,TRUE,Action,Nintendo,90,0.91,19.95,Nintendo Wii,T,2007
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,1,TRUE,Action,Ubisoft,86,0.89,14.95,X360,T,2007
Madden NFL 08,4,TRUE,Sports,EA,76,0.86,12.95,Nintendo Wii,M,2007
Ratchet & Clank Future: Tools of Destruction,1,TRUE,Action,Sony,89,0.86,22.95,PlayStation 3,E,2007
LEGO Star Wars: The Complete Saga,2,TRUE,Action,,80,0.85,17.95,PlayStation 3,M,2007
Rayman Raving Rabbids 2,4,TRUE,Action,Ubisoft,67,0.84,17.95,Nintendo Wii,T,2007
NBA 2K8 ,1,TRUE,Sports,2K,81,0.83,9.95,X360,M,2007
Namco Museum DS,1,TRUE,Action,Namco,67,0.8,17.95,Nintendo DS,E,2007
Need for Speed: ProStreet,2,TRUE,Racing / Driving,EA,73,0.75,16.95,PlayStation 3,T,2007
Blazing Angels: Squadrons of WWII,2,TRUE,Action,Ubisoft,57,0.75,16.95,Nintendo Wii,E,2007
Drawn to Life,1,TRUE,Action,THQ,73,0.75,17.95,Nintendo DS,T,2007
EA Playground,4,TRUE,"Action,Racing / Driving,Sports",EA,66,0.72,17.95,Nintendo Wii,T,2007
Major League Baseball 2K7,2,TRUE,Sports,2K,79,0.7,9.95,X360,E,2007
Resident Evil: The Umbrella Chronicles,2,TRUE,Action,"Capcom,Nintendo",75,0.69,19.95,Nintendo Wii,T,2007
NCAA Football 08,2,TRUE,Sports,EA,81,0.68,9.95,X360,E,2007
Spectrobes,1,TRUE,"Action,Strategy",,63,0.68,14.95,Nintendo DS,E,2007
The Sims 2: Castaway,1,TRUE,Simulation,EA,66,0.66,16.95,Nintendo DS,M,2007
WWE Smackdown vs. Raw 2008,6,TRUE,Sports,THQ,74,0.64,14.95,PlayStation 3,E,2007
Madden NFL 08,1,TRUE,Sports,EA,75,0.64,9.95,Sony PSP,E,2007
NBA Live 08,4,TRUE,Sports,EA,73,0.6,9.95,PlayStation 3,M,2007
The Simpsons Game,1,TRUE,Action,EA,69,0.6,17.95,Nintendo DS,M,2007
Ace Combat 6: Fires of Liberation,1,TRUE,"Action,Simulation",Namco,80,0.58,19.95,X360,E,2007
Heavenly Sword,1,TRUE,Action,Sony,79,0.57,24.95,PlayStation 3,E,2007
Ninja Gaiden Sigma,1,TRUE,Action,,88,0.57,19.95,PlayStation 3,E,2007
Ben 10: Protector of the Earth,1,TRUE,Action,,63,0.57,16.95,Nintendo Wii,T,2007
The Simpsons Game,2,TRUE,Action,EA,71,0.55,17.95,X360,T,2007
CrossworDS,1,TRUE,"Educational,Strategy",,67,0.53,17.95,Nintendo DS,T,2007
Sonic Rush Adventure,1,TRUE,"Action,Sports",Sega,78,0.52,24.95,Nintendo DS,T,2007
Tiger Woods PGA Tour 08,4,TRUE,Sports,EA,80,0.51,14.95,X360,T,2007
Tony Hawk's Proving Ground,2,TRUE,Sports,Activision,72,0.51,16.95,X360,T,2007
Call of Duty: Roads to Victory,1,TRUE,Action,Activision,64,0.51,24.95,Sony PSP,E,2007
Transformers: The Game,1,TRUE,Action,Activision,52,0.51,14.95,X360,M,2007
NBA 2K8,7,TRUE,Sports,2K,81,0.5,9.95,PlayStation 3,M,2007
Medal of Honor: Heroes 2,1,TRUE,Action,EA,69,0.5,17.95,Sony PSP,E,2007
Spider-Man 3,1,TRUE,Action,Activision,63,0.5,11.95,X360,E,2007
Tom Clancy's Rainbow Six: Vegas,2,TRUE,Action,Ubisoft,86,0.49,16.95,PlayStation 3,E,2007
Need for Speed: ProStreet,2,TRUE,Racing / Driving,EA,61,0.49,16.95,Nintendo Wii,M,2007
NBA LIVE 08 ,1,TRUE,Sports,EA,73,0.49,9.95,X360,T,2007
Dance Dance Revolution Universe 2,4,TRUE,Action,Konami,65,0.48,19.95,X360,T,2007
MX vs. ATV Untamed,2,TRUE,Racing / Driving,THQ,70,0.48,17.95,X360,T,2007
Final Fantasy IV,1,TRUE,Role-Playing (RPG),SquareEnix,85,0.48,17.95,Nintendo DS,T,2007
NBA Street Homecourt,4,TRUE,Sports,EA,80,0.47,7.95,X360,T,2007
The Simpsons Game,2,TRUE,Action,EA,64,0.47,17.95,Nintendo Wii,T,2007
Winter Sports: The Ultimate Challenge,1,TRUE,"Racing / Driving,Sports",,52,0.47,16.95,Nintendo Wii,E,2007
WWE Smackdown vs. Raw 2008,4,TRUE,Sports,THQ,68,0.46,16.95,Sony PSP,E,2007
Tiger Woods PGA Tour 07,4,TRUE,Sports,EA,71,0.46,17.95,Nintendo Wii,T,2007
Crash of the Titans,1,TRUE,Action,,73,0.46,17.95,Nintendo DS,T,2007
Sonic Rivals 2,1,TRUE,Action,Sega,60,0.46,22.95,Sony PSP,M,2007
Boogie,2,TRUE,Action,EA,57,0.45,17.95,Nintendo Wii,T,2007
Medal of Honor: Airborne,2,TRUE,Action,EA,73,0.45,17.95,X360,E,2007
The Sims 2: Castaway,1,TRUE,Simulation,EA,73,0.45,17.95,Nintendo Wii,T,2007
Spider-Man 3,1,TRUE,Action,Activision,53,0.45,14.95,Nintendo Wii,T,2007
Lost Odyssey,1,TRUE,Role-Playing (RPG),Microsoft,78,0.45,19.95,X360,T,2007
Bee Movie Game,1,TRUE,Adventure,Activision,58,0.44,17.95,Nintendo DS,E,2007
Spider-Man 3,1,TRUE,Action,Activision,79,0.44,16.95,Nintendo DS,M,2007
Final Fantasy Tactics,1,TRUE,"Role-Playing (RPG),Strategy",SquareEnix,88,0.44,17.95,Sony PSP,M,2007
Endless Ocean,1,TRUE,Simulation,Nintendo,72,0.44,24.95,Nintendo Wii,E,2007
SingStar,6,TRUE,Simulation,Sony,82,0.43,14.95,PlayStation 3,E,2007
Ratatouille,1,TRUE,Action,THQ,62,0.43,19.95,Nintendo Wii,T,2007
The Sims 2: Pets,1,TRUE,Simulation,EA,65,0.43,22.95,Nintendo Wii,T,2007
Two Worlds,1,TRUE,"Action,Role-Playing (RPG)",,50,0.43,14.95,X360,M,2007
Crash of the Titans,2,TRUE,Action,,69,0.42,17.95,Nintendo Wii,E,2007
Sonic the Hedgehog,2,TRUE,Action,Sega,46,0.41,14.95,X360,T,2007
Mega Man Star Force: Dragon,1,TRUE,"Action,Role-Playing (RPG)",Capcom,60,0.41,27.95,Nintendo DS,T,2007
Sonic the Hedgehog,2,TRUE,Action,Sega,43,0.4,16.95,PlayStation 3,M,2007
Harry Potter and the Order of the Phoenix,1,TRUE,Action,EA,69,0.4,24.95,Nintendo Wii,T,2007
Nicktoons: Attack of the Toybots,1,TRUE,Action,THQ,60,0.4,14.95,Nintendo Wii,T,2007
WWE Smackdown vs. Raw 2008,4,TRUE,Sports,THQ,59,0.39,12.95,Nintendo Wii,M,2007
The Simpsons Game,2,TRUE,Action,EA,71,0.39,17.95,PlayStation 3,E,2007
DiRT,1,TRUE,"Racing / Driving,Simulation,Sports",,83,0.39,17.95,X360,E,2007
Kane & Lynch: Dead Men,2,TRUE,Action,Eidos,65,0.38,14.95,X360,E,2007
Jam Sessions,1,TRUE,"Educational,Simulation",Ubisoft,72,0.38,8.95,Nintendo DS,T,2007
Monster Hunter Freedom 2,1,TRUE,"Action,Strategy",Capcom,72,0.38,12.95,Sony PSP,T,2007
Shadowrun,1,TRUE,Action,Microsoft,66,0.38,12.95,X360,E,2007
Thrillville: Off the Rails,4,TRUE,"Simulation,Strategy",,70,0.37,16.95,Nintendo Wii,E,2007
Tony Hawk's Proving Ground,2,TRUE,Sports,Activision,73,0.37,12.95,PlayStation 3,E,2007
My Word Coach,1,TRUE,Educational,Ubisoft,71,0.37,15.95,Nintendo DS,T,2007
The World Ends With You,1,TRUE,"Action,Adventure,Role-Playing (RPG)",SquareEnix,88,0.37,17.95,Nintendo DS,M,2007
The BIGS,4,TRUE,"Action,Simulation,Sports",2K,66,0.36,17.95,Nintendo Wii,M,2007
NCAA Football 08,2,TRUE,Sports,EA,77,0.36,9.95,PlayStation 3,T,2007
Final Fantasy Tactics A2: Grimoire of the Rift,1,TRUE,"Role-Playing (RPG),Strategy",SquareEnix,80,0.36,17.95,Nintendo DS,E,2007
Beowulf: The Game,1,TRUE,Action,Ubisoft,51,0.36,12.95,X360,E,2007
The Darkness,1,TRUE,Action,2K,82,0.36,14.95,X360,M,2007
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,4,TRUE,Action,Ubisoft,84,0.35,17.95,PlayStation 3,T,2007
Final Fantasy,1,TRUE,Role-Playing (RPG),SquareEnix,67,0.35,17.95,Sony PSP,T,2007
Lair,1,TRUE,Action,Sony,53,0.35,19.95,PlayStation 3,E,2007
Transformers: The Game,1,TRUE,Action,Activision,53,0.35,17.95,Nintendo Wii,T,2007
Command & Conquer 3: Tiberium Wars,1,TRUE,Strategy,EA,82,0.35,24.95,X360,T,2007
Overlord,1,TRUE,"Action,Strategy",,76,0.35,17.95,X360,M,2007
Diner Dash,1,TRUE,Action,,64,0.34,17.95,Nintendo DS,T,2007
Medal of Honor: Heroes 2,1,TRUE,Action,EA,73,0.34,19.95,Nintendo Wii,E,2007
MX vs. ATV Untamed,2,TRUE,Racing / Driving,THQ,67,0.33,17.95,PlayStation 3,T,2007
Time Crisis 4,2,TRUE,Action,Namco,60,0.33,24.95,PlayStation 3,M,2007
Dragon Ball Z: Budokai Tenkaichi 3,2,TRUE,Action,Atari,72,0.33,17.95,Nintendo Wii,E,2007
Final Fantasy XII: Revenant Wings,1,TRUE,"Role-Playing (RPG),Strategy",SquareEnix,81,0.33,19.95,Nintendo DS,T,2007
SOCOM: U.S. Navy SEALs - Tactical Strike,1,TRUE,"Action,Strategy",Sony,72,0.33,14.95,Sony PSP,M,2007
Unreal Tournament III,1,TRUE,Action,Midway,86,0.33,16.95,PlayStation 3,M,2007
Bee Movie Game,2,TRUE,Action,Activision,62,0.32,14.95,Nintendo Wii,E,2007
Def Jam: Icon,2,TRUE,Action,EA,69,0.32,17.95,X360,M,2007
Transformers: The Game,1,TRUE,Action,Activision,54,0.32,17.95,PlayStation 3,E,2007
TimeShift,1,TRUE,Action,,70,0.32,12.95,X360,M,2007
SSX Blur,4,TRUE,Sports,EA,74,0.31,17.95,Nintendo Wii,E,2007
Bleach: The Blade of Fate,1,TRUE,Action,Sega,83,0.31,17.95,Nintendo DS,E,2007
EA Playground,1,TRUE,"Racing / Driving,Sports",EA,60,0.31,11.95,Nintendo DS,E,2007
Final Fantasy II,1,TRUE,Role-Playing (RPG),SquareEnix,63,0.31,17.95,Sony PSP,E,2007
The Eye of Judgment,2,TRUE,Strategy,Sony,75,0.3,12.95,PlayStation 3,E,2007
MLB 07: The Show,2,TRUE,Sports,Sony,77,0.3,9.95,PlayStation 3,T,2007
Virtua Fighter 5,2,TRUE,Action,Sega,85,0.3,14.95,PlayStation 3,M,2007
NiGHTS: Journey of Dreams,2,TRUE,Action,Sega,69,0.3,14.95,Nintendo Wii,M,2007
Puzzle Quest: Challenge of the Warlords,1,TRUE,"Role-Playing (RPG),Strategy",,82,0.3,17.95,Nintendo DS,E,2007
NBA Live 08,1,TRUE,Sports,EA,73,0.3,14.95,Sony PSP,E,2007
Kane & Lynch: Dead Men,2,TRUE,Action,Eidos,64,0.29,19.95,PlayStation 3,E,2007
Crash of the Titans,2,TRUE,Action,,65,0.29,17.95,X360,E,2007
Harry Potter and the Order of the Phoenix,1,TRUE,Action,EA,51,0.29,17.95,Nintendo DS,E,2007
SimCity DS,1,TRUE,Simulation,EA,69,0.29,14.95,Nintendo DS,T,2007
Wario: Master of Disguise,1,TRUE,Action,Nintendo,60,0.29,14.95,Nintendo DS,E,2007
No More Heroes,1,TRUE,"Action,Racing / Driving",Ubisoft,83,0.29,17.95,Nintendo Wii,M,2007
BlackSite: Area 51,1,TRUE,Action,Midway,62,0.29,17.95,X360,E,2007
Shrek the Third,2,TRUE,Action,Activision,56,0.28,14.95,X360,E,2007
Shrek the Third,1,TRUE,Adventure,Activision,70,0.28,16.95,Nintendo DS,T,2007
Surf's Up,1,TRUE,"Racing / Driving,Sports",Ubisoft,56,0.28,14.95,Nintendo DS,T,2007
MLB 07: The Show,1,TRUE,Sports,Sony,82,0.28,9.95,Sony PSP,E,2007
TMNT,1,TRUE,Action,Ubisoft,58,0.28,19.95,X360,E,2007
Spider-Man: Friend or Foe,2,TRUE,Action,Activision,60,0.27,17.95,X360,E,2007
Contra 4,1,TRUE,Action,Konami,83,0.27,17.95,Nintendo DS,T,2007
Phoenix Wright: Ace Attorney - Trials and Tribu...,1,TRUE,"Adventure,Simulation",Capcom,81,0.27,17.95,Nintendo DS,T,2007
Disney Pirates of the Caribbean: At World's End,1,TRUE,Action,Disney,66,0.27,14.95,Nintendo DS,T,2007
Dragon Ball Z: Shin Budokai - Another Road,1,TRUE,Action,"Atari,Namco",65,0.27,16.95,Sony PSP,E,2007
Spider-Man 3,1,TRUE,Action,Activision,60,0.27,17.95,PlayStation 3,E,2007
The Golden Compass,1,TRUE,Action,Sega,41,0.27,9.95,X360,M,2007
Stuntman: Ignition,4,TRUE,"Action,Racing / Driving",THQ,75,0.26,14.95,X360,T,2007
Chicken Shoot,2,TRUE,Action,,27,0.26,12.95,Nintendo Wii,E,2007
Shrek the Third,2,TRUE,Action,Activision,57,0.26,16.95,Nintendo Wii,E,2007
DK: Jungle Climber,1,TRUE,"Action,Strategy",Nintendo,77,0.26,24.95,Nintendo DS,T,2007
Dragon Quest IV: Chapters of the Chosen,1,TRUE,Role-Playing (RPG),SquareEnix,80,0.26,24.95,Nintendo DS,T,2007
300: March to Glory,1,TRUE,Action,Eidos,55,0.26,14.95,Sony PSP,E,2007
Fire Emblem: Radiant Dawn,1,TRUE,"Role-Playing (RPG),Strategy",Nintendo,78,0.26,34.95,Nintendo Wii,T,2007
The Golden Compass,1,TRUE,Action,Sega,35,0.26,14.95,Nintendo Wii,E,2007
Manhunt 2,1,TRUE,Action,Rockstar,62,0.26,19.95,Nintendo Wii,E,2007
NASCAR 08,1,TRUE,"Racing / Driving,Sports",EA,59,0.25,12.95,X360,E,2007
Virtua Tennis 3,4,TRUE,Sports,Sega,80,0.24,19.95,PlayStation 3,E,2007
All-Pro Football 2K8,4,TRUE,Sports,2K,75,0.24,7.95,X360,T,2007
Major League Baseball 2K7,2,TRUE,Sports,2K,74,0.24,7.95,PlayStation 3,M,2007
The Warriors,1,TRUE,Action,Rockstar,52,0.24,17.95,Sony PSP,T,2007
Ghost Rider,4,TRUE,Action,2K,49,0.23,16.95,Sony PSP,T,2007
Tony Hawk's Proving Ground,2,TRUE,Sports,Activision,57,0.23,16.95,Nintendo Wii,E,2007
Juiced 2: Hot Import Nights,2,TRUE,Racing / Driving,THQ,68,0.23,14.95,X360,E,2007
Juiced 2: Hot Import Nights,1,TRUE,Racing / Driving,THQ,72,0.23,13.95,Nintendo DS,T,2007
The Simpsons Game,1,TRUE,Action,EA,59,0.23,16.95,Sony PSP,M,2007
Syphon Filter: Logan's Shadow,1,TRUE,"Action,Strategy",Sony,85,0.23,16.95,Sony PSP,T,2007
Tiger Woods PGA Tour 08,4,TRUE,Sports,EA,79,0.22,12.95,PlayStation 3,T,2007
Ratatouille,4,TRUE,Action,THQ,56,0.22,16.95,X360,T,2007
Trauma Center: New Blood,2,TRUE,"Action,Simulation",Nintendo,77,0.22,17.95,Nintendo Wii,E,2007
Hotel Dusk: Room 215,1,TRUE,Adventure,Nintendo,78,0.22,14.95,Nintendo DS,E,2007
Mega Man ZX Advent,1,TRUE,Action,Capcom,78,0.22,17.95,Nintendo DS,T,2007
Silent Hill: 0rigins,1,TRUE,Action,Konami,78,0.22,17.95,Sony PSP,E,2007
Harry Potter and the Order of the Phoenix,1,TRUE,Action,EA,68,0.22,16.95,X360,M,2007
NHL 08 ,1,TRUE,Sports,EA,85,0.22,9.95,X360,E,2007
Castlevania: The Dracula X Chronicles,2,TRUE,Action,Konami,80,0.21,16.95,Sony PSP,E,2007
Tony Hawk's Proving Ground,1,TRUE,Sports,Activision,39,0.21,13.95,Nintendo DS,M,2007
Jeanne d'Arc,1,TRUE,"Role-Playing (RPG),Strategy",Sony,87,0.21,19.95,Sony PSP,T,2007
BWii: Battalion Wars 2,1,TRUE,"Action,Simulation,Strategy",Nintendo,75,0.21,14.95,Nintendo Wii,T,2007
Battlestations: Midway,1,TRUE,"Action,Strategy",Eidos,73,0.21,17.95,X360,T,2007
Dragon Ball Z: Harukanaru Densetsu,1,TRUE,Strategy,Atari,57,0.2,14.95,Nintendo DS,T,2007
Touch the Dead,1,TRUE,Action,,56,0.2,16.95,Nintendo DS,T,2007
The Darkness,1,TRUE,Action,2K,80,0.2,14.95,PlayStation 3,E,2007
Donkey Kong Barrel Blast,4,TRUE,Racing / Driving,Nintendo,46,0.19,29.95,Nintendo Wii,T,2007
The BIGS,4,TRUE,"Action,Simulation,Sports",2K,79,0.19,12.95,X360,M,2007
Armored Core 4,2,TRUE,Action,Sega,65,0.19,17.95,X360,E,2007
Etrian Odyssey,1,TRUE,Role-Playing (RPG),Nintendo,75,0.19,24.95,Nintendo DS,E,2007
Ben 10: Protector of the Earth,1,TRUE,Action,,60,0.19,16.95,Sony PSP,T,2007
Tom Clancy's Splinter Cell: Double Agent,1,TRUE,"Action,Strategy",Ubisoft,78,0.19,22.95,PlayStation 3,M,2007
Looney Tunes: Acme Arsenal,1,TRUE,Action,,27,0.19,14.95,Nintendo Wii,T,2007
Zack & Wiki: Quest for Barbaros' Treasure,1,TRUE,Adventure,Capcom,87,0.19,17.95,Nintendo Wii,E,2007
Monster Jam,4,TRUE,Sports,Activision,43,0.18,17.95,X360,M,2007
Virtua Fighter 5,2,TRUE,Action,Sega,89,0.18,17.95,X360,E,2007
Lunar Knights,1,TRUE,Action,Konami,82,0.18,16.95,Nintendo DS,T,2007
Enchanted Arms,1,TRUE,Role-Playing (RPG),Ubisoft,64,0.18,17.95,PlayStation 3,E,2007
F.E.A.R.: First Encounter Assault Recon,1,TRUE,Action,,72,0.18,17.95,PlayStation 3,T,2007
Folklore,1,TRUE,"Action,Role-Playing (RPG)",Sony,75,0.18,24.95,PlayStation 3,E,2007
Juiced 2: Hot Import Nights,1,TRUE,Racing / Driving,THQ,71,0.18,17.95,PlayStation 3,T,2007
The Elder Scrolls IV: Shivering Isles,1,TRUE,"Action,Role-Playing (RPG)",,86,0.18,24.95,X360,E,2007
NHL 08,7,TRUE,Sports,EA,86,0.17,9.95,PlayStation 3,T,2007
NCAA 07 March Madness,4,TRUE,Sports,EA,67,0.17,7.95,X360,E,2007
Rayman Raving Rabbids,4,TRUE,Action,Ubisoft,67,0.17,16.95,X360,M,2007
Viva Pi$?ata: Party Animals,4,TRUE,Racing / Driving,Microsoft,56,0.17,14.95,X360,T,2007
Warriors Orochi,2,TRUE,"Action,Role-Playing (RPG)",,53,0.17,19.95,X360,E,2007
Luminous Arc,1,TRUE,"Role-Playing (RPG),Strategy",,70,0.17,24.95,Nintendo DS,T,2007
Picross DS,1,TRUE,Strategy,Nintendo,83,0.17,17.95,Nintendo DS,E,2007
Harry Potter and the Order of the Phoenix,1,TRUE,Action,EA,67,0.17,17.95,PlayStation 3,E,2007
College Hoops 2K7,6,TRUE,Sports,2K,81,0.16,6.95,PlayStation 3,E,2007
The BIGS,4,TRUE,"Action,Simulation,Sports",2K,80,0.16,22.95,PlayStation 3,T,2007
Stuntman: Ignition,4,TRUE,"Action,Racing / Driving",THQ,76,0.16,16.95,PlayStation 3,E,2007
Mortal Kombat: Armageddon,4,TRUE,"Action,Racing / Driving",Midway,71,0.16,24.95,Nintendo Wii,E,2007
Def Jam: Icon,2,TRUE,Action,EA,68,0.16,16.95,PlayStation 3,E,2007
Soulcalibur Legends,2,TRUE,Action,Namco,52,0.16,16.95,Nintendo Wii,E,2007
Surf's Up,2,TRUE,Sports,Ubisoft,64,0.16,16.95,Nintendo Wii,T,2007
Planet Puzzle League,1,TRUE,Strategy,Nintendo,86,0.16,17.95,Nintendo DS,E,2007
DiRT,1,TRUE,"Racing / Driving,Simulation,Sports",,83,0.16,17.95,PlayStation 3,E,2007
TMNT,1,TRUE,Action,Ubisoft,60,0.16,17.95,Nintendo Wii,E,2007
Soldier of Fortune: Payback,1,TRUE,Action,Activision,50,0.16,13.95,X360,M,2007
Dynasty Warriors: Gundam,2,TRUE,Action,Namco,60,0.15,22.95,PlayStation 3,E,2007
Disney Pirates of the Caribbean: At World's End,2,TRUE,Action,Disney,55,0.15,14.95,PlayStation 3,M,2007
Bee Movie Game,2,TRUE,Action,Activision,71,0.15,12.95,X360,T,2007
Dynasty Warriors: Gundam,2,TRUE,Action,Namco,55,0.15,22.95,X360,M,2007
Golden Axe,2,TRUE,Action,Sega,45,0.15,14.95,X360,M,2007
Dementium: The Ward,1,TRUE,Action,,72,0.15,17.95,Nintendo DS,M,2007
Rondo of Swords,1,TRUE,"Role-Playing (RPG),Strategy",,69,0.15,19.95,Nintendo DS,E,2007
Disgaea: Afternoon of Darkness,1,TRUE,"Role-Playing (RPG),Strategy",,87,0.15,17.95,Sony PSP,M,2007
NASCAR 08,1,TRUE,"Racing / Driving,Sports",EA,57,0.15,14.95,PlayStation 3,M,2007
Dragon Quest Swords: The Masked Queen and the T...,1,TRUE,Action,SquareEnix,65,0.15,16.95,Nintendo Wii,T,2007
Call of Juarez,1,TRUE,Action,Ubisoft,71,0.15,14.95,X360,E,2007
College Hoops 2K8,1,TRUE,Sports,2K,81,0.15,9.95,X360,M,2007
Eternal Sonata,1,TRUE,Role-Playing (RPG),Namco,79,0.15,27.95,X360,M,2007
Kingdom Under Fire: Circle of Doom,1,TRUE,"Action,Role-Playing (RPG)",Microsoft,55,0.15,14.95,X360,E,2007
Vampire Rain,1,TRUE,Action,Microsoft,38,0.15,11.95,X360,T,2007
All-Pro Football 2K8,6,TRUE,Sports,2K,73,0.14,9.95,PlayStation 3,T,2007
Mercury Meltdown,2,TRUE,Strategy,,77,0.14,12.95,Nintendo Wii,E,2007
Conan,1,TRUE,"Action,Adventure",THQ,69,0.14,17.95,PlayStation 3,E,2007
Godzilla: Unleashed,1,TRUE,Action,Atari,44,0.14,24.95,Nintendo Wii,E,2007
NBA Live 08,1,TRUE,Sports,EA,52,0.14,14.95,Nintendo Wii,M,2007
Conan,1,TRUE,"Action,Adventure",THQ,69,0.14,14.95,X360,E,2007
Spider-Man: Friend or Foe,2,TRUE,Action,Activision,59,0.13,17.95,Nintendo Wii,T,2007
College Hoops 2K8,7,TRUE,Sports,2K,82,0.12,12.95,PlayStation 3,M,2007
NBA 08,4,TRUE,Sports,Sony,63,0.12,9.95,PlayStation 3,M,2007
Thrillville: Off the Rails,4,TRUE,"Simulation,Strategy",,73,0.12,17.95,X360,E,2007
Geometry Wars: Galaxies,1,TRUE,Action,,79,0.12,14.95,Nintendo DS,T,2007
Rayman Raving Rabbids,1,TRUE,Action,Ubisoft,56,0.12,17.95,Nintendo DS,M,2007
WordJong,1,TRUE,Strategy,,77,0.12,17.95,Nintendo DS,M,2007
"Warhammer 40,000: Squad Command",1,TRUE,Strategy,THQ,67,0.12,17.95,Sony PSP,T,2007
Beowulf: The Game,1,TRUE,Action,Ubisoft,51,0.12,12.95,PlayStation 3,T,2007
The Golden Compass,1,TRUE,Action,Sega,40,0.12,12.95,PlayStation 3,M,2007
Scarface: The World is Yours,1,TRUE,"Action,Racing / Driving",,71,0.12,22.95,Nintendo Wii,M,2007
Hot Wheels: Beat That!,1,TRUE,"Action,Racing / Driving",Activision,43,0.12,19.95,X360,T,2007
NHL 2K8 ,1,TRUE,Sports,2K,71,0.12,6.95,X360,T,2007
